host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
151062320,52.36584,4.87644,145,2,123,7.11,2,130
16798348,52.36289,4.8548,59,2,151,7.09,2,27
124245,52.36723,4.89124,45,2,445,7.07,3,153
126214405,52.39367,4.9486,41,1,8,7.06,1,71
197060667,52.36416,4.88803,120,2,72,7.06,5,154
4443833,52.33968,4.84618,140,1,545,7.06,1,211
46659123,52.38363,4.88379,159,2,169,7.05,1,58
56809984,52.31577,4.94785,65,1,135,7.02,1,56
2313061,52.37665,4.88246,99,1,256,7.02,2,32
4221960,52.36495,4.90984,120,1,550,7.02,1,201
10328790,52.35541,4.90495,90,3,460,7.01,1,0
251983944,52.36062,4.88955,300,2,7,7,1,63
8376545,52.37209,4.9698,115,3,7,7,1,221
35003425,52.34156,4.84565,125,2,7,7,1,238
111371051,52.35798,4.93546,80,1,7,7,2,127
58536168,52.35052,4.79937,43,1,7,7,2,339
253800069,52.37429,4.87851,149,1,7,7,2,351
41142102,52.3783,4.8917,298,1,146,6.99,1,239
12364777,52.35519,4.88768,150,2,30,6.98,1,116
243087395,52.36612,4.86813,1000,1,13,6.96,1,330
23432091,52.38157,4.88625,80,1,107,6.95,1,11
39696069,52.35873,4.85508,89,2,313,6.94,1,259
39065403,52.38717,4.88912,130,2,317,6.94,1,214
50799724,52.40432,4.9096,59,1,231,6.92,2,316
22047244,52.37051,4.90255,130,1,379,6.92,1,187
51999276,52.36785,4.88055,75,2,105,6.91,1,9
6316912,52.35369,4.87983,85,2,427,6.9,1,180
76607139,52.35629,4.89397,145,1,215,6.88,1,262
79646801,52.34944,4.80367,59,1,71,6.85,2,130
13601914,52.37574,4.89856,115,2,312,6.85,1,76
20358179,52.37598,4.896,120,2,392,6.85,2,233
9255551,52.35225,4.8928,65,1,104,6.84,2,51
176320082,52.36354,4.88535,125,1,91,6.83,2,179
45680733,52.3557,4.92422,89,2,119,6.83,1,274
60232307,52.34417,4.85961,85,2,10,6.82,1,36
5780127,52.36252,4.8684,70,2,214,6.8,2,0
181032675,52.37214,4.8951,240,1,90,6.78,1,41
47439090,52.35191,4.89075,130,1,286,6.78,1,193
11225917,52.35437,4.9975,50,2,314,6.78,2,219
85420364,52.37249,4.89728,140,1,28,6.77,3,123
2986709,52.35402,4.8799,75,1,142,6.76,3,275
241449179,52.37199,4.87813,165,2,18,6.75,2,319
